Price,Open,High,Low,Close,Volume,Volatility,Predicted_Close
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,
Date,,,,,,,
2024-05-10,167.2304738812949,169.0418211972959,165.39923266388908,167.84751892089844,29799900,3.6425885334068084,166.3858805847168
2024-05-13,163.47840519575857,168.47452305757707,163.2196478065062,168.33518981933594,31327600,5.254875251070871,165.6529690551758
2024-05-14,168.9622000666333,170.43515363864887,167.99681433185833,169.52947998046875,25127100,2.438339306790539,168.55905410766601
2024-05-15,169.81811888787405,171.82849645723252,169.69867954126346,171.6891632080078,26948400,2.1298169159690588,170.9645426940918
2024-05-16,172.46543176167918,174.28672593990896,171.86829583867203,173.3511962890625,27867900,2.418430101236936,172.86249588012694
2024-05-17,173.35120017781833,175.43126697024482,172.8635414410171,175.22225952148438,24479300,2.5677255292277152,172.83744567871094
2024-05-20,175.35166373779703,177.91938952957375,175.24218652700162,176.07818603515625,22554400,2.677203002572128,176.9473275756836
2024-05-21,176.05826183810862,177.3023140421263,174.9734519608894,177.00375366210938,16989400,2.328862081236906,175.46184387207032
2024-05-22,175.79949834923147,176.3070661638398,174.3763099665658,175.54074096679688,17880000,1.9307561972740075,174.37622894287108
2024-05-23,176.22748350592448,177.40186161179759,172.12707671457434,172.72422790527344,21024900,5.274784897223242,174.2173323059082
2024-05-24,174.1474170125974,174.93366658897898,172.82374351187994,174.15737915039062,16572500,2.1099230770990403,172.72816986083984
2024-05-28,173.61993514476987,176.42652440990983,173.54031397559726,175.56065368652344,20572200,2.8862104343125736,174.16578414916992
2024-05-29,174.59525395863238,175.99854847921964,173.88864081616407,175.06301879882812,23388700,2.1099076630555658,173.09069549560547
2024-05-30,174.36635482166008,174.3862639091637,170.97257674604643,171.2910614013672,22958700,3.4136871631172596,171.57173217773436
2024-05-31,171.0422451160524,172.23653216033742,168.63376194065896,171.67919921875,37638900,3.6027702196784617,170.38223327636717
2024-06-03,171.71901635552842,173.69955303760383,170.3455929752159,172.3460235595703,27459100,3.3539600623879267,171.87433288574218
2024-06-04,172.45550585604707,173.0228009976231,171.07212029758608,172.96307373046875,26879600,1.9506807000370259,171.89238479614258
2024-06-05,174.3663404642731,175.80943787268257,173.10237927009325,174.57534790039062,22068500,2.7070586025893135,172.78642211914064
2024-06-06,175.06301613629049,176.30706831231922,174.91373594964054,175.88906860351562,23251000,1.3933323626786773,174.56198455810548
2024-06-07,176.2075553066339,177.02364564681855,173.47064048742553,173.6298828125,19661400,3.553005159393024,173.8765155029297
2024-06-10,174.3373028204193,176.41974164942064,172.13528757767702,174.3771514892578,23779200,4.284454071743625,173.62818756103516
2024-06-11,175.58279097950916,176.20054419886765,173.14165320239113,175.98133850097656,21540600,3.0588909964765207,173.04682373046876
2024-06-12,177.60545332869307,179.75764648213246,175.47319211286342,177.14710998535156,27864700,4.284454369269042,177.50610168457033
2024-06-13,175.4731883543162,176.10091514486052,174.24764028080844,174.52662658691406,20913300,1.8532748640520822,173.64891998291014
2024-06-14,173.59004229910659,176.41976954609018,173.5202881130933,176.15074157714844,18063600,2.899481432996879,174.36735427856445
2024-06-17,174.82555863477174,177.71506640628968,174.1778998559042,176.59912109375,19618500,3.5371665503854786,175.30292617797852
2024-06-18,176.49945355613937,176.74854954541945,173.47045301608333,174.4568634033203,21869900,3.278096529336125,173.45010375976562
2024-06-20,174.73584587896318,176.6489012104213,174.35723032198266,175.66249084472656,20160100,2.291670888438631,174.22189544677735
2024-06-21,176.3599738775111,180.19605848680078,175.9713847127052,178.98046875,58582700,4.224673774095578,178.85772094726562
2024-06-24,179.50854860133447,180.23590467855502,178.02393093898397,178.5719451904297,18298000,2.21197373957105,179.19721160888673
2024-06-25,178.97049060645827,183.6236020982057,178.77121684563144,183.3645477294922,23235600,4.8523852525742655,181.68854766845703
2024-06-26,181.96962309255457,183.84281475961373,181.82015636356306,183.21510314941406,19839000,2.022658396050673,183.52487976074218
2024-06-27,183.51399970907897,185.37724814669312,183.35458982218609,184.73956298828125,18848900,2.0226583245070344,185.44746337890626
2024-06-28,183.65349958942755,184.46056816789698,181.30203282563852,181.4913330078125,29156600,3.1585353422584603,183.85291488647462
2024-07-01,182.36815677467078,183.2150892304388,180.64441676394287,182.32830810546875,16006100,2.570672466495921,182.76084579467772
2024-07-02,181.39172281674388,184.89899899691764,180.9034891495935,184.5701904296875,17372500,3.9955098473241435,184.03455001831054
2024-07-03,184.18157764961353,185.41708400664015,183.33464521797683,185.1480712890625,10242100,2.0824387886633247,185.44443756103516
2024-07-05,185.1879463493014,190.16986676631305,185.1281657368756,189.9108123779297,20967500,5.041701029437462,186.65916015625
2024-07-08,189.2133152781957,189.48234321486567,187.10098606603526,188.34646606445312,21035900,2.3813571488304035,188.49697875976562
2024-07-09,189.62183867706156,190.6680449292031,188.03759174863737,188.29664611816406,15121400,2.6304531805657234,190.04435928344728
2024-07-10,188.46601975809165,191.05662413286367,188.34645854817109,190.48867797851562,15952500,2.7101655846925894,190.32595428466797
2024-07-11,189.16350913484757,190.16985150502285,184.41075318141904,184.89898681640625,25625800,5.7590983236038085,186.94448654174803
2024-07-12,184.4107609794594,186.4334193756876,183.8228980414375,184.4008026123047,22898400,2.610521334250109,186.10203201293945
2024-07-15,184.25133560725024,187.55933793133792,184.25133560725024,185.8555145263672,16474000,3.3080023240876812,185.79153259277345
2024-07-16,186.68250724756794,187.99772622450305,182.70692960576108,183.25494384765625,18290700,5.290796618741979,185.8612223815918
2024-07-17,182.3083784640881,182.88628299827582,179.24947234058598,180.3654327392578,20734100,3.6368106576898356,181.430115814209
2024-07-18,181.27214401888858,181.84009022857012,175.83189558689608,177.0474853515625,25315700,6.008194641674038,180.10045684814452
2024-07-19,178.2331677734678,179.63805760345338,176.4894958420638,177.017578125,18881900,3.1485617613895727,177.63427688598634
2024-07-22,179.9369802536856,182.0393510707807,179.5782814108386,181.01307678222656,24100300,2.4610696599420976,181.49120330810547
2024-07-23,181.39171422932947,182.94607087092996,180.88354864784296,181.1326446533203,36352700,2.062522223087001,182.52074234008788
2024-07-24,172.97227682395808,175.5529078595556,171.1987144347076,172.0057830810547,49585200,4.354193424848006,172.36612197875976
2024-07-25,171.8961830942536,172.7929226710128,166.58545420511723,166.6751251220703,44852000,6.207468465895573,169.1281703186035
2024-07-26,166.54558494627688,167.48218836937892,163.4667619348052,166.39613342285156,41336900,4.015426434573726,165.50720916748048
2024-07-29,168.2195263708959,169.8137317797604,167.38256739097093,168.9169921875,20293800,2.4311643887894547,168.76900985717774
2024-07-30,169.62441781635252,170.6108282471045,167.83092357369438,169.67422485351562,18959700,2.7799046734101296,169.1270216369629
2024-07-31,172.61355784032972,173.61990013827557,169.39522679360476,170.91969299316406,25729100,4.224673344670805,171.16721435546876
2024-08-01,169.63438196406787,173.42064433790932,168.2693407012315,170.1425323486328,24531400,5.151303636677824,170.5448275756836
2024-08-02,165.83816733480066,167.90067445744558,164.0745632707895,166.057373046875,29130100,3.826111186656078,165.73185409545897
2024-08-05,154.93772354006205,163.83542602504582,154.36977732002595,158.67416381835938,53630700,9.465648705019873,158.57266494750976
2024-08-06,158.75388411013478,159.98940589570805,155.84444429599301,157.71763610839844,49004600,4.144961599715032,157.95891021728517
2024-08-07,160.66692482795222,162.3906649427379,157.89697844100593,158.3652801513672,25138600,4.493686501731986,160.09214340209962
2024-08-08,159.92959903655023,163.09810823419537,159.6306959832372,161.44410705566406,25578800,3.4674122509581764,161.74283096313476
2024-08-09,159.43140161323996,163.1977319936456,158.48483983468753,163.0781707763672,28602300,4.712892158958056,161.4726593017578
2024-08-12,163.75571936475353,164.30371841151174,161.25478575040617,161.70315551757812,15895300,3.0489326611055674,162.32793395996094
2024-08-13,162.81910303734423,164.13432193027123,162.38069167183113,163.56639099121094,18551700,1.7536302584400971,163.42232986450196
2024-08-14,161.8127429859203,162.62978510037354,157.1397151588883,159.7900848388672,40591100,5.490069941485245,158.2527282714844
2024-08-15,159.91965599708712,161.0555333193891,159.0328747121638,160.71676635742188,31524300,2.02265860722531,160.52484985351563
2024-08-16,160.8861402886848,164.4631555242534,160.5473733468258,162.37075805664062,24208600,3.915782177427616,161.98805908203124
2024-08-19,164.68236373765842,166.0872689752546,163.66604769305533,166.0673370361328,22416200,2.4212212821992694,165.17658599853516
2024-08-20,166.2964836667436,168.0301973015893,166.21678632585224,166.57546997070312,18341500,1.8134109757370709,167.46129592895508
2024-08-21,164.5528089649255,166.2466739015297,164.07454890935912,165.2502899169922,22902000,2.1721249921705805,165.35767425537108
2024-08-22,166.65518277106005,166.98399131629145,162.71946900223335,163.20770263671875,22493300,4.264522314058098,164.6017790222168
2024-08-23,164.12439379448475,165.57910609860116,163.23761253403663,165.02113342285156,13955700,2.34149356456453,164.96429794311524
2024-08-26,165.77837928622512,166.9441467734434,163.8653237787171,165.55917358398438,14190400,3.078822994726295,165.1536129760742
2024-08-27,165.2403122158638,165.83814867308575,163.8653126900336,164.08450317382812,11821900,1.972835983052164,164.84871154785156
2024-08-28,164.44320708392877,165.0011948895807,160.9459047509701,162.26113891601562,16407400,4.055290138610587,162.46888931274415
2024-08-29,163.71585770644296,165.36985884682494,159.67054097302747,161.19500732421875,19699800,5.699317873797469,162.96172866821288
2024-08-30,162.03196874119254,163.06821666334946,161.10533887588517,162.7892303466797,22123800,1.9628777874642935,161.6639567565918
2024-09-03,161.1352199073359,161.26475469105404,155.91416233200027,156.79098510742188,38945300,5.350592359053763,157.49098358154296
2024-09-04,156.09352467815137,158.42505964289654,155.3960589028362,155.88427734375,19353800,3.0290007400603542,156.05301803588867
2024-09-05,155.73482906151818,158.87343271753585,155.41597886981896,156.6714324951172,18688700,3.4574538477168915,157.4525752258301
2024-09-06,156.73120219936595,157.25928448946016,150.00561037278717,150.374267578125,37912100,7.253674116672983,154.03136032104493
2024-09-09,152.16015223667844,153.04811005909767,146.8822936520537,148.36888122558594,39260500,6.1658164070439625,150.40632598876954
2024-09-10,150.10488755816476,150.92301391041104,147.9997269680091,148.31900024414062,31118800,2.923286942401944,150.343818359375
2024-09-11,149.57610185215293,151.15247937146228,147.18161321895167,150.81326293945312,29607700,3.9708661525106095,150.03084991455077
2024-09-12,153.4472166512295,154.46488123819847,152.29984538660895,154.33517456054688,29695000,2.165035851589522,152.637333984375
2024-09-13,155.07347350460154,158.0167190902818,154.8539921377882,157.0988311767578,29591200,3.162726952493614,156.00448104858398
2024-09-16,156.949153850456,157.88700007819574,156.2407910010188,157.6974334716797,18379800,1.646209077176934,156.4029899597168
2024-09-17,158.65524442097214,160.18173369132347,158.01671306098063,158.95455932617188,20715600,2.1650206303428376,159.6538507080078
